
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
360,1458,767,3600,100,C,1460
362,1458,770,3600,100,C,1465
364,1458,770,3600,100,C,1465
366,1458,770,3600,100,C,1465
368,1458,770,3600,100,C,1465
370,1458,770,3600,100,C,1465
372,1458,770,3600,100,C,1465
374,1458,770,3600,100,C,1465
376,1458,770,3600,100,C,1465
378,1458,770,3600,100,C,1465
380,1458,770,3600,100,C,1465
382,1458,770,3600,100,C,1465
384,1458,770,3600,100,C,1465
386,1458,770,3600,100,C,1465
388,1458,770,3600,100,C,1465
390,1458,770,3600,100,C,1465
392,1458,770,3600,100,C,1465
394,1458,770,3600,100,C,1465
396,1458,770,3600,100,C,1465
398,1458,770,3600,100,C,1465
400,1458,770,3600,100,C,1465
402,1458,770,3600,100,C,1465
404,1458,770,3600,100,C,1465
406,1458,770,3600,100,C,1465
408,1458,770,3600,100,C,1465
410,1458,770,3600,100,C,1465
412,1458,770,3600,100,C,1465
414,1458,770,3600,100,C,1465
416,1458,770,3600,100,C,1465
418,1458,770,3600,100,C,1465
420,1458,770,3600,100,C,1465
422,1458,770,3600,100,C,1465
424,1458,770,3600,100,C,1465
426,1458,770,3600,100,C,1465
428,1458,770,3600,100,C,1465
430,1458,770,3600,100,C,1465
432,1458,770,3600,100,C,1465
434,1458,770,3600,100,C,1465
436,1458,770,3600,100,C,1465
438,1458,770,3600,100,C,1465
440,1458,770,3600,100,C,1465
442,1458,770,3600,100,C,1465
444,1458,770,3600,100,C,1465
446,1458,770,3600,100,C,1465
448,1458,770,3600,100,C,1465
450,1458,770,3600,100,C,1465
452,1458,770,3600,100,C,1465
454,1458,770,3600,100,C,1465
456,1458,770,3600,100,C,1465
458,1458,770,3600,100,C,1465
460,1458,770,3600,100,C,1465
462,1458,770,3600,100,C,1465
464,1458,770,3600,100,C,1465
466,1458,770,3600,100,C,1465
468,1458,770,3600,100,C,1465
470,1458,770,3600,100,C,1465
472,1458,770,3600,100,C,1465
474,1458,770,3600,100,C,1465
476,1458,770,3600,100,C,1465
478,1458,770,3600,100,C,1465
480,1458,770,3600,100,C,1465
482,1458,770,3600,100,C,1465
484,1458,770,3600,100,C,1465
486,1458,770,3600,100,C,1465
488,1458,770,3600,100,C,1465
490,1458,770,3600,100,C,1465
492,1458,770,3600,100,C,1465
494,1458,770,3600,100,C,1465
496,1458,770,3600,100,C,1465
498,1458,770,3600,100,C,1465
500,1458,770,3600,100,C,1465
502,1458,770,3600,100,C,1465
504,1458,770,3600,100,C,1465
506,1458,770,3600,100,C,1465
508,1458,770,3600,100,C,1465
510,1458,770,3600,100,C,1465
512,1458,770,3600,100,C,1465
514,1458,770,3600,100,C,1465
516,1458,770,3600,100,C,1465
518,1458,770,3600,100,C,1465
520,1458,770,3600,100,C,1465
522,1458,770,3600,100,C,1465
524,1458,770,3600,100,C,1465
526,1458,770,3600,100,C,1465
528,1458,770,3600,100,C,1465
530,1458,770,3600,100,C,1465
532,1458,770,3600,100,C,1465
534,1458,770,3600,100,C,1465
536,1458,770,3600,100,C,1465
538,1458,770,3600,100,C,1465
540,1458,770,3600,100,C,1465
542,1458,770,3600,100,C,1465
544,1458,770,3600,100,C,1465
546,1458,770,3600,100,C,1465
548,1458,770,3600,100,C,1465
550,1458,770,3600,100,C,1465
552,1458,770,3600,100,C,1465
554,1458,770,3600,100,C,1465
556,1458,770,3600,100,C,1465
558,1458,770,3600,100,C,1465
560,1458,770,3600,100,C,1465
562,1458,770,3600,100,C,1465
564,1458,770,3600,100,C,1465
566,1458,770,3600,100,C,1465
568,1458,770,3600,100,C,1465
570,1458,770,3600,100,C,1465
572,1458,770,3600,100,C,1465
574,1458,770,3600,100,C,1465
576,1458,770,3600,100,C,1465
578,1458,770,3600,100,C,1465
580,1458,770,3600,100,C,1465
582,1458,770,3600,100,C,1465
584,1458,770,3600,100,C,1465
586,1458,770,3600,100,C,1465
588,1458,770,3600,100,C,1465
590,1458,770,3600,100,C,1465
592,1458,770,3600,100,C,1465
594,1458,770,3600,100,C,1465
596,1458,770,3600,100,C,1465
598,1458,770,3600,100,C,1465
600,1458,770,3600,100,C,1465
602,1458,770,3600,100,C,1465
604,1458,770,3600,100,C,1465
606,1458,770,3600,100,C,1465
608,1458,770,3600,100,C,1465
610,1458,770,3600,100,C,1465
612,1458,770,3600,100,C,1465
614,1458,770,3600,100,C,1465
616,1458,770,3600,100,C,1465
618,1458,770,3600,100,C,1465
620,1458,770,3600,100,C,1465
622,1458,770,3600,100,C,1465
624,1458,770,3600,100,C,1465
626,1458,770,3600,100,C,1465
628,1458,770,3600,100,C,1465
630,1458,770,3600,100,C,1465
632,1458,770,3600,100,C,1465
634,1458,770,3600,100,C,1465
636,1458,770,3600,100,C,1465
638,1458,770,3600,100,C,1465
640,1458,770,3600,100,C,1465
642,1458,770,3600,100,C,1465
644,1458,770,3600,100,C,1465
646,1458,770,3600,100,C,1465
648,1458,770,3600,100,C,1465
650,1458,770,3600,100,C,1465
652,1458,770,3600,100,C,1465
654,1458,770,3600,100,C,1465
656,1458,770,3600,100,C,1465
658,1458,770,3600,100,C,1465
660,1458,770,3600,100,C,1465
662,1458,770,3600,100,C,1465
664,1458,770,3600,100,C,1465
666,1458,770,3600,100,C,1465
668,1458,770,3600,100,C,1465
670,1458,770,3600,100,C,1465
672,1458,770,3600,100,C,1465
674,1458,770,3600,100,C,1465
676,1458,770,3600,100,C,1465
678,1458,770,3600,100,C,1465
680,1458,770,3600,100,C,1465
682,1458,770,3600,100,C,1465
684,1458,770,3600,100,C,1465
686,1458,770,3600,100,C,1465
688,1458,770,3600,100,C,1465
690,1458,770,3600,100,C,1465
692,1458,770,3600,100,C,1465
694,1458,770,3600,100,C,1465
696,1458,770,3600,100,C,1465
698,1458,770,3600,100,C,1465
700,1458,770,3600,100,C,1465
702,1458,770,3600,100,C,1465
704,1458,770,3600,100,C,1465
706,1458,770,3600,100,C,1465
708,1458,770,3600,100,C,1465
710,1458,770,3600,100,C,1465
712,1458,770,3600,100,C,1465
714,1458,770,3600,100,C,1465
716,1458,770,3600,100,C,1465
718,1458,770,3600,100,C,1465
720,1458,768,3600,100,C,1462
722,1458,770,3600,100,C,1465
724,1458,770,3600,100,C,1465
726,1458,770,3600,100,C,1465
728,1458,770,3600,100,C,1465
730,1458,770,3600,100,C,1465
732,1458,770,3600,100,C,1465
734,1458,770,3600,100,C,1465
736,1458,770,3600,100,C,1465
738,1458,770,3600,100,C,1465
740,1458,770,3600,100,C,1465
742,1458,770,3600,100,C,1465
744,1458,770,3600,100,C,1465
746,1458,770,3600,100,C,1465
748,1458,770,3600,100,C,1465
750,1458,770,3600,100,C,1465
752,1458,770,3600,100,C,1465
754,1458,770,3600,100,C,1465
756,1458,770,3600,100,C,1465
758,1458,770,3600,100,C,1465
760,1458,770,3600,100,C,1465
762,1458,770,3600,100,C,1465
764,1458,770,3600,100,C,1465
766,1458,770,3600,100,C,1465
768,1458,770,3600,100,C,1465
770,1458,770,3600,100,C,1465
772,1458,770,3600,100,C,1465
774,1458,770,3600,100,C,1465
776,1458,770,3600,100,C,1465
778,1458,770,3600,100,C,1465
780,1458,770,3600,100,C,1465
782,1458,770,3600,100,C,1465
784,1458,770,3600,100,C,1465
786,1458,770,3600,100,C,1465
788,1458,770,3600,100,C,1465
790,1458,770,3600,100,C,1465
792,1458,770,3600,100,C,1465
794,1458,770,3600,100,C,1465
796,1458,770,3600,100,C,1465
798,1458,770,3600,100,C,1465
800,1458,770,3600,100,C,1465
